,Ram,Storage,Brand,Color,Display_Size,Display_Type,Front_Cam,Rear_Cam,Price
0,4 GB RAM ,64 GB ROM,realme,Blue,6.5,HD+,5,50,"₹9,999"
1,6 GB RAM ,128 GB RO,realme,Black,6.6,HD+,16,50,"₹13,499"
2,8 GB RAM ,128 GB RO,realme,Blue,6.7,HD+,16,108,"₹25,999"
3,8 GB RAM ,256 GB RO,realme,Blue,6.7,HD+,16,108,"₹27,999"
5,4 GB RAM ,64 GB ROM,realme,Black,6.6,HD+,8,50,"₹14,999"
6,6 GB RAM ,128 GB RO,realme,Blue,6.7,HD+,16,108,"₹24,999"
9,4 GB RAM ,64 GB ROM,realme,Gold,6.6,HD+,8,50,"₹14,999"
13,2 GB RAM ,32 GB ROM,realme,Black,6.5,HD+,5,8,"₹6,999"
14,4 GB RAM ,64 GB ROM,realme,Blue,6.6,HD+,8,50,"₹14,999"
15,6 GB RAM ,128 GB RO,realme,Black,6.6,HD+,8,50,"₹16,999"
16,2 GB RAM ,32 GB ROM,realme,Blue,6.5,HD+,5,8,"₹6,999"
17,6 GB RAM ,128 GB RO,realme,Blue,6.6,HD+,16,50,"₹13,499"
18,4 GB RAM ,64 GB ROM,realme,Black,6.6,HD+,16,50,"₹12,639"
19,6 GB RAM ,128 GB RO,realme,Gold,6.6,HD+,8,50,"₹16,999"
20,4 GB RAM ,64 GB ROM,realme,Black,6.6,HD+,8,50,"₹11,999"
21,4 GB RAM ,64 GB ROM,realme,Blue,6.5,HD+,5,8,"₹8,499"
22,4 GB RAM ,128 GB RO,realme,Black,6.6,HD+,8,50,"₹12,999"
23,6 GB RAM ,128 GB RO,realme,Blue,6.6,HD+,8,50,"₹16,999"
28,2 GB RAM ,32 GB ROM,realme,Grey,6.5,HD+,5,8,"₹7,499"
29,2 GB RAM ,32 GB ROM,realme,Blue,6.5,HD+,5,8,"₹7,499"
30,6 GB RAM ,128 GB RO,realme,Black,6.62,AMOLED,16,64,"₹22,999"
31,8 GB RAM ,256 GB RO,realme,Black,6.62,AMOLED,16,64,"₹26,999"
32,6 GB RAM ,128 GB RO,realme,Black,6.6,HD+,8,50,"₹13,999"
34,4 GB RAM ,64 GB ROM,realme,Green,6.6,HD+,8,50,"₹11,999"
35,8 GB RAM ,128 GB RO,realme,Black,6.4,HD+,16,50,"₹16,999"
36,4 GB RAM ,64 GB ROM,realme,Blue,6.6,HD+,8,50,"₹10,772"
37,4 GB RAM ,64 GB ROM,realme,Black,6.6,HD+,8,50,"₹10,538"
38,4 GB RAM ,64 GB ROM,realme,Grey,6.5,HD+,5,8,"₹8,999"
39,4 GB RAM ,64 GB ROM,realme,Blue,6.5,HD+,5,8,"₹8,999"
40,8 GB RAM ,128 GB RO,realme,White,6.4,HD+,16,50,"₹16,999"
41,4 GB RAM ,64 GB ROM,realme,White,6.4,HD+,16,50,"₹13,999"
42,4 GB RAM ,128 GB RO,realme,Green,6.6,HD+,8,50,"₹12,999"
43,2 GB RAM ,32 GB ROM,realme,Grey,6.5,HD+,5,8,"₹7,499"
44,2 GB RAM ,32 GB ROM,realme,Blue,6.5,HD+,5,8,"₹7,499"
46,3 GB RAM ,32 GB ROM,realme,Blue,6.5,HD+,5,8,"₹6,299"
47,3 GB RAM ,32 GB ROM,realme,Black,6.5,HD+,5,8,"₹6,299"
48,12 GB RAM ,256 GB RO,realme,Black,6.62,AMOLED,16,50,"₹31,999"
50,8 GB RAM ,128 GB RO,realme,Green,6.62,AMOLED,16,50,"₹27,999"
53,4 GB RAM ,128 GB RO,realme,Blue,6.5,HD+,16,48,"₹16,499"
56,4 GB RAM ,64 GB ROM,realme,Grey,6.5,HD+,8,13,"₹10,680"
57,4 GB RAM ,64 GB ROM,realme,Blue,6.5,HD+,8,13,"₹10,770"
58,4 GB RAM ,64 GB ROM,realme,Silver,6.52,HD,5,13,"₹9,999"
60,3 GB RAM ,32 GB ROM,realme,Silver,6.52,HD,5,13,"₹9,299"
61,8 GB RAM ,256 GB RO,realme,White,6.62,AMOLED,16,64,"₹26,999"
62,6 GB RAM ,128 GB RO,realme,White,6.62,AMOLED,16,64,"₹22,999"
63,8 GB RAM ,256 GB RO,realme,Yellow,6.62,AMOLED,16,64,"₹26,999"
64,4 GB RAM ,128 GB RO,realme,Black,6.5,HD+,16,48,"₹16,499"
65,4 GB RAM ,64 GB ROM,realme,White,6.5,HD+,16,48,"₹15,999"
66,4 GB RAM ,64 GB ROM,realme,Blue,6.5,HD+,16,48,"₹15,999"
67,4 GB RAM ,64 GB ROM,realme,Black,6.5,HD+,16,48,"₹15,999"
68,3 GB RAM ,32 GB ROM,realme,Green,6.52,HD,5,13,"₹9,299"
69,4 GB RAM ,128 GB RO,realme,Grey,6.5,HD+,8,13,"₹11,999"
70,4 GB RAM ,128 GB RO,realme,Blue,6.6,HD+,16,50,"₹14,999"
71,4 GB RAM ,64 GB ROM,realme,Black,6.6,HD+,16,50,"₹13,999"
72,4 GB RAM ,64 GB ROM,realme,Green,6.52,HD,5,13,"₹9,999"
73,4 GB RAM ,64 GB ROM,realme,Blue,6.5,HD+,5,13,"₹10,499"
75,3 GB RAM ,32 GB ROM,realme,Blue,6.5,HD+,5,13,"₹9,499"
76,3 GB RAM ,32 GB ROM,realme,Black,6.5,HD+,5,13,"₹9,499"
77,4 GB RAM ,128 GB RO,realme,Black,6.6,HD+,16,50,"₹14,999"
78,4 GB RAM ,64 GB ROM,realme,Black,6.5,HD+,5,13,"₹10,499"
79,6 GB RAM ,128 GB RO,realme,White,6.5,HD+,16,48,"₹17,499"
80,8 GB RAM ,128 GB RO,realme,Yellow,6.62,AMOLED,16,64,"₹24,999"
81,6 GB RAM ,128 GB RO,realme,Yellow,6.62,AMOLED,16,64,"₹22,999"
82,8 GB RAM ,128 GB RO,realme,White,6.62,AMOLED,16,64,"₹24,999"
83,3 GB RAM ,32 GB ROM,realme,Green,6.5,HD+,5,8,"₹6,299"
84,4 GB RAM ,64 GB ROM,realme,Blue,6.6,HD+,16,50,"₹10,999"
88,6 GB RAM ,128 GB RO,realme,Green,6.6,HD+,8,50,"₹15,499"
89,4 GB RAM ,64 GB ROM,realme,Black,6.5,HD+,16,48,"₹15,499"
91,8 GB RAM ,128 GB RO,realme,Black,6.5,HD+,16,48,"₹18,499"
92,6 GB RAM ,128 GB RO,realme,Blue,6.6,HD+,16,50,"₹15,999"
93,4 GB RAM ,64 GB ROM,realme,Blue,6.6,HD+,16,50,"₹13,499"
94,6 GB RAM ,128 GB RO,realme,Black,6.6,HD+,16,50,"₹15,999"
95,4 GB RAM ,64 GB ROM,realme,Black,6.6,HD+,16,50,"₹13,499"
96,6 GB RAM ,128 GB RO,realme,Purple,6.6,HD+,16,50,"₹15,999"
97,6 GB RAM ,128 GB RO,realme,Black,6.6,HD+,16,50,"₹15,999"
98,8 GB RAM ,128 GB RO,realme,Black,6.62,AMOLED,16,64,"₹24,999"
100,8 GB RAM ,128 GB RO,realme,Black,6.4,AMOLED,16,50,"₹26,999"
101,6 GB RAM ,128 GB RO,realme,Black,6.4,AMOLED,16,50,"₹24,999"
102,6 GB RAM ,128 GB RO,realme,Blue,6.5,HD+,16,48,"₹15,499"
103,4 GB RAM ,64 GB ROM,realme,Black,6.5,HD+,16,48,"₹15,999"
104,4 GB RAM ,64 GB ROM,realme,Grey,6.5,HD+,8,50,"₹10,999"
105,8 GB RAM ,128 GB RO,realme,Green,6.4,AMOLED,16,50,"₹26,999"
106,8 GB RAM ,256 GB RO,realme,Black,6.4,AMOLED,16,50,"₹28,999"
107,4 GB RAM ,64 GB ROM,realme,Blue,6.5,HD+,16,48,"₹13,499"
108,3 GB RAM ,32 GB ROM,realme,Black,6.5,HD+,5,13,"₹9,499"
109,8 GB RAM ,128 GB RO,realme,Silver,6.5,HD+,16,48,"₹19,999"
110,4 GB RAM ,128 GB RO,realme,Blue,6.5,HD+,8,50,"₹11,999"
111,3 GB RAM ,32 GB ROM,realme,Blue,6.5,HD+,5,13,"₹9,499"
112,12 GB RAM ,256 GB RO,realme,White,6.7,HD+,16,50,"₹35,999"
113,6 GB RAM ,128 GB RO,realme,Silver,6.5,HD+,16,48,"₹15,499"
114,6 GB RAM ,128 GB RO,realme,Blue,6.6,HD+,16,64,"₹18,999"
116,6 GB RAM ,128 GB RO,realme,Black,6.6,HD+,16,64,"₹18,999"
117,4 GB RAM ,64 GB ROM,realme,Black,6.5,HD+,5,13,"₹10,499"
118,8 GB RAM ,256 GB RO,realme,Blue,6.4,AMOLED,16,50,"₹28,999"
119,4 GB RAM ,128 GB RO,realme,Black,6.4,HD+,16,64,"₹15,999"
120,4 GB RAM ,64 GB ROM,realme,Blue,6.5,HD+,5,13,"₹10,499"
121,8 GB RAM ,256 GB RO,realme,Green,6.4,AMOLED,16,50,"₹28,999"
122,8 GB RAM ,256 GB RO,realme,White,6.7,HD+,16,50,"₹31,999"
123,8 GB RAM ,256 GB RO,realme,Black,6.7,HD+,16,50,"₹31,999"
125,8 GB RAM ,256 GB RO,realme,Blue,6.7,HD+,16,50,"₹31,999"
127,4 GB RAM ,64 GB ROM,realme,Blue,6.5,HD+,8,50,"₹10,999"
130,6 GB RAM ,128 GB RO,realme,Black,6.4,HD+,16,64,"₹16,999"
131,4 GB RAM ,128 GB RO,realme,Grey,6.5,HD+,8,50,"₹11,999"
133,6 GB RAM ,64 GB ROM,realme,Orange,6.6,HD+,16,64,"₹17,999"
